SaleID,CustomerID,ProductID,Quantity,UnitPrice,SaleDate
1001,28,133,8,271.73,2024-02-16
1002,10,108,3,107.43,2024-11-17
1003,32,144,7,203.86,2024-11-01
1004,18,125,7,388.8,2024-11-01
1005,78,134,5,90.07,2024-10-10
1006,3,144,2,203.86,2024-12-15
1007,94,149,5,205.71,2024-11-24
1008,59,108,5,107.43,2024-08-10
1009,32,130,1,112.66,2024-05-14
1010,84,149,3,205.71,2024-09-16
1011,23,141,5,457.44,2024-11-23
1012,84,139,4,404.47,2024-03-19
1013,64,149,3,205.71,2024-10-03
1014,87,101,10,22.26,2024-06-14
1015,81,102,2,130.0,2024-07-04
1016,54,116,1,57.39,2024-05-03
1017,99,106,2,117.13,2024-09-05
1018,18,149,9,205.71,2024-03-05
1019,27,143,8,114.19,2024-10-08
1020,33,117,9,305.83,2024-11-06
1021,72,114,9,479.03,2024-12-19
1022,37,146,5,130.85,2024-07-23
1023,113,142,6,439.42,2024-08-12
1024,86,129,2,89.7,2024-05-06
1025,41,105,6,25.57,2024-01-11
1026,102,136,4,117.61,2024-10-28
1027,41,101,2,22.26,2024-12-28
1028,108,104,4,52.6,2024-02-04
1029,7,122,2,443.87,2024-09-20
1030,43,118,8,367.57,2024-04-19
1031,95,109,10,215.56,2024-10-22
1032,79,116,8,57.39,2024-07-27
1033,36,107,2,304.99,2024-12-03
1034,73,123,7,292.9,2024-07-29
1035,78,147,1,274.1,2024-12-10
1036,111,142,2,439.42,2024-02-01
1037,69,147,6,274.1,2024-02-25
1038,44,113,4,146.16,2024-10-01
1039,75,109,7,215.56,2024-04-03
1040,50,130,4,112.66,2024-02-08
1041,74,136,2,117.61,2024-01-26
1042,111,135,1,142.27,2024-02-17
1043,43,111,7,381.82,2024-09-05
1044,80,114,7,479.03,2024-01-31
1045,33,125,1,388.8,2024-07-18
1046,47,130,5,112.66,2024-08-04
1047,118,147,9,274.1,2024-12-04
1048,122,132,3,308.47,2024-04-07
1049,52,114,1,479.03,2024-10-23
1050,95,104,6,52.6,2024-01-30
1051,10,138,8,122.23,2024-09-14
1052,87,111,1,381.82,2024-09-17
1053,20,112,2,352.09,2024-10-31
1054,18,144,4,203.86,2024-07-25
1055,25,137,4,423.0,2024-10-23
1056,104,103,10,370.87,2024-02-11
1057,71,143,10,114.19,2024-10-16
1058,86,121,5,416.41,2024-04-14
1059,113,146,6,130.85,2024-05-02
1060,47,126,3,429.11,2024-12-09
1061,110,120,8,48.61,2024-06-10
1062,19,101,8,22.26,2024-11-14
1063,99,107,2,304.99,2024-10-02
1064,39,133,5,271.73,2024-03-08
1065,60,105,4,25.57,2024-07-08
1066,51,111,8,381.82,2024-10-05
1067,119,120,10,48.61,2024-11-30
1068,87,101,9,22.26,2024-06-02
1069,112,107,3,304.99,2024-05-15
1070,24,107,9,304.99,2024-03-20
1071,49,119,10,71.16,2024-04-17
1072,122,122,4,443.87,2024-12-17
1073,109,117,9,305.83,2024-09-07
1074,45,104,2,52.6,2024-11-20
1075,72,118,1,367.57,2024-01-02
1076,58,150,3,498.69,2024-11-22
1077,47,111,8,381.82,2024-10-09
1078,119,128,9,321.49,2024-01-05
1079,24,105,3,25.57,2024-10-06
1080,7,124,10,32.45,2024-10-09
1081,30,128,3,321.49,2024-01-22
1082,54,124,1,32.45,2024-07-02
1083,38,144,4,203.86,2024-12-07
1084,23,123,9,292.9,2024-07-27
1085,107,148,3,219.93,2024-05-01
1086,32,112,7,352.09,2024-01-13
1087,34,148,6,219.93,2024-07-29
1088,113,148,4,219.93,2024-05-16
1089,32,145,2,80.01,2024-07-14
1090,7,131,4,353.89,2024-04-12
1091,76,123,5,292.9,2024-04-26
1092,41,102,4,130.0,2024-07-23
1093,58,118,2,367.57,2024-05-22
1094,60,142,9,439.42,2024-07-23
1095,115,135,6,142.27,2024-01-15
1096,24,117,3,305.83,2024-10-24
1097,47,103,2,370.87,2024-11-01
1098,73,123,6,292.9,2024-08-11
1099,105,133,2,271.73,2024-07-16
1100,100,113,5,146.16,2024-01-23
1101,119,128,1,321.49,2024-09-23
1102,94,144,4,203.86,2024-07-05
1103,73,105,6,25.57,2024-11-15
1104,56,143,2,114.19,2024-06-02
1105,84,120,7,48.61,2024-06-16
1106,69,145,5,80.01,2024-10-10
1107,27,113,7,146.16,2024-12-06
1108,65,144,3,203.86,2024-11-11
1109,99,120,7,48.61,2024-10-07
1110,2,120,5,48.61,2024-04-17
1111,73,138,10,122.23,2024-12-01
1112,57,130,8,112.66,2024-08-14
1113,115,114,9,479.03,2024-08-30
1114,33,143,2,114.19,2024-05-25
1115,85,143,10,114.19,2024-06-20
1116,21,149,4,205.71,2024-12-10
1117,54,115,4,60.08,2024-03-16
1118,6,103,4,370.87,2024-08-31
1119,106,150,2,498.69,2024-08-21
1120,71,141,10,457.44,2024-04-09
1121,122,145,7,80.01,2024-09-10
1122,69,116,3,57.39,2024-12-01
1123,117,101,2,22.26,2024-08-05
1124,41,112,9,352.09,2024-08-25
1125,10,136,4,117.61,2024-03-03
1126,76,109,8,215.56,2024-12-07
1127,87,136,10,117.61,2024-06-11
1128,74,140,9,141.19,2024-08-06
1129,96,129,3,89.7,2024-08-31
1130,75,117,4,305.83,2024-11-22
1131,50,150,9,498.69,2024-09-05
1132,108,116,5,57.39,2024-08-13
1133,19,146,5,130.85,2024-04-30
1134,49,122,6,443.87,2024-10-03
1135,20,109,3,215.56,2024-04-28
1136,66,145,3,80.01,2024-12-27
1137,39,105,7,25.57,2024-07-27
1138,58,135,8,142.27,2024-07-31
1139,13,114,7,479.03,2024-07-18
1140,101,145,1,80.01,2024-10-21
1141,65,131,1,353.89,2024-06-29
1142,53,149,7,205.71,2024-08-02
1143,94,148,9,219.93,2024-11-04
1144,41,132,4,308.47,2024-05-19
1145,73,132,1,308.47,2024-07-18
1146,59,143,7,114.19,2024-03-25
1147,78,109,10,215.56,2024-09-30
1148,6,126,10,429.11,2024-10-15
1149,112,102,2,130.0,2024-11-25
1150,72,109,8,215.56,2024-04-03
1151,10,117,7,305.83,2024-06-16
1152,39,130,6,112.66,2024-06-21
1153,65,118,7,367.57,2024-05-09
1154,20,131,1,353.89,2024-10-03
1155,10,123,4,292.9,2024-11-28
1156,18,150,1,498.69,2024-01-16
1157,44,113,1,146.16,2024-11-14
1158,31,116,3,57.39,2024-08-30
1159,113,108,10,107.43,2024-04-21
1160,78,145,5,80.01,2024-07-07
1161,33,139,10,404.47,2024-02-28
1162,32,120,2,48.61,2024-10-23
1163,6,120,10,48.61,2024-12-12
1164,65,126,4,429.11,2024-02-08
1165,102,145,4,80.01,2024-02-22
1166,118,150,5,498.69,2024-12-16
1167,104,108,10,107.43,2024-01-22
1168,60,135,7,142.27,2024-12-04
1169,64,105,9,25.57,2024-11-27
1170,59,101,7,22.26,2024-09-07
1171,23,128,6,321.49,2024-11-21
1172,76,146,3,130.85,2024-08-10
1173,34,147,9,274.1,2024-11-29
1174,49,140,9,141.19,2024-09-04
1175,78,128,10,321.49,2024-05-17
1176,57,116,2,57.39,2024-05-22
1177,75,116,8,57.39,2024-10-18
1178,106,143,7,114.19,2024-06-21
1179,6,132,6,308.47,2024-04-03
1180,81,114,6,479.03,2024-05-12
1181,59,118,10,367.57,2024-12-25
1182,50,136,1,117.61,2024-09-21
1183,36,106,4,117.13,2024-07-27
1184,81,136,4,117.61,2024-12-19
1185,79,142,8,439.42,2024-08-17
1186,4,106,5,117.13,2024-04-23
1187,69,145,4,80.01,2024-06-05
1188,112,138,6,122.23,2024-08-30
1189,96,134,6,90.07,2024-08-05
1190,96,122,6,443.87,2024-12-25
1191,76,118,5,367.57,2024-05-08
1192,42,108,4,107.43,2024-06-10
1193,25,148,9,219.93,2024-12-19
1194,35,113,4,146.16,2024-09-04
1195,50,147,10,274.1,2024-09-25
1196,104,119,2,71.16,2024-04-09
1197,52,115,6,60.08,2024-04-01
1198,53,101,9,22.26,2024-03-05
1199,50,103,1,370.87,2024-10-10
1200,52,145,3,80.01,2024-11-22
